CP,BNG,1000,1030,1100,1130,1200,1230,1300,1330,1400,1430,1500,1530,1600,1630,1700
Start,202 859,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CP1,198 849,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
CP2,186 850,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0
CP3,159 876,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0
CP4,125 834,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0
CP8,195 860,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
CP9,180 832,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0
CP10,168 845,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
CP11,153 853,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
CP12,161 862,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
CP13,136 845,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
CP14,194 837,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
CP15,178 847,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
CP16,156 839,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
CP17,207 834,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Finish,149 839,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
