StartCP,FinishCP,Distance,Height_Gain
CP1,CP10,5.482,117.67767333984375
CP1,CP11,7.295,410.57049560546875
CP1,CP12,7.622,153.50218200683594
CP1,CP13,8.971,378.3369445800781
CP1,CP14,2.193,98.05084228515625
CP1,CP15,4.116,321.64935302734375
CP1,CP16,6.802,151.94801330566406
CP1,CP17,2.176,49.366180419921875
CP1,CP2,3.35,323.796142578125
CP1,CP3,7.079,341.0657958984375
CP1,CP4,10.741,415.5411682128906
CP1,CP8,1.393,97.54345703125
CP1,CP9,4.407,114.21397399902344
CP1,Finish,7.664,162.07699584960938
CP1,Start,1.357,53.46937561035156
CP10,CP1,5.48,117.07496643066406
CP10,CP11,1.864,298.72015380859375
CP10,CP12,2.141,42.81245422363281
CP10,CP13,3.54,275.248046875
CP10,CP14,3.287,87.25131225585938
CP10,CP15,2.003,129.79139709472656
CP10,CP16,2.847,54.05754089355469
CP10,CP17,6.002,45.63128662109375
CP10,CP2,2.964,277.45220947265625
CP10,CP3,3.616,183.2904052734375
CP10,CP4,5.237,365.9606628417969
CP10,CP8,6.858,158.62677001953125
CP10,CP9,1.985,20.079498291015625
CP10,Finish,3.926,59.55079650878906
CP10,Start,6.837,155.5157012939453
CP11,CP1,7.293,111.63946533203125
CP11,CP10,1.864,1.19708251953125
CP11,CP12,4.005,39.401763916015625
CP11,CP13,1.969,52.251739501953125
CP11,CP14,5.1,82.11473083496094
CP11,CP15,3.816,126.21235656738281
CP11,CP16,2.574,12.6710205078125
CP11,CP17,7.756,39.41505432128906
CP11,CP2,4.777,274.6204833984375
CP11,CP3,5.481,180.52932739257812
CP11,CP4,3.666,151.5986328125
CP11,CP8,8.671,141.44540405273438
CP11,CP9,3.738,7.7704315185546875
CP11,Finish,4.198,64.68408203125
CP11,Start,8.65,141.33523559570312
CP12,CP1,7.62,123.46064758300781
CP12,CP10,2.141,14.780075073242188
CP12,CP11,3.987,313.74871826171875
CP12,CP13,4.912,228.04165649414062
CP12,CP14,5.427,90.27705383300781
CP12,CP15,4.143,135.82772827148438
