StartCP,FinishCP,Distance,Height_Gain
E2R,CP6,4.177,10.215042
E2R,CP7,3.849,17.517456
E2R,E1,3.428,92.68689
E2R,E10U,3.563,122.21091
E2R,E3,6.896,18.068176
E2R,E4R,4.52,47.192184
E2R,E5,5.055,4.7333527
E2R,E6,7.037,39.447662
E2R,E7U,7.366,115.51541
E2R,E8,9.1,35.83184
E2R,E9U,3.196,12.115875
E2R,Finish,4.917,18.135773
E2R,Start,4.556,27.056274
E3,CP1,3.757,180.01196
E3,CP2,5.223,224.17006
E3,CP3,6.786,250.37744
E3,CP4,8.476,244.55388
E3,CP5,7.344,205.67398
E3,CP6,4.489,99.53242
E3,CP7,3.047,161.56956
E3,E1,4.368,254.07834
E3,E10U,3.701,224.0546
E3,E2R,6.896,306.19476
E3,E4R,4.575,154.49199
E3,E5,3.611,44.118767
E3,E6,6.024,108.53528
E3,E7U,9.6,314.08798
E3,E8,7.34,139.92166
E3,E9U,4.903,196.392
E3,Finish,1.979,97.27347
E3,Start,6.79,231.72116
E4R,CP1,2.533,152.38554
E4R,CP2,2.826,166.41864
E4R,CP3,4.411,208.14958
E4R,CP4,6.464,242.35323
E4R,CP5,5.161,179.00809
E4R,CP6,1.016,40.874084
E4R,CP7,2.927,151.97224
E4R,E1,2.974,224.59042
E4R,E10U,3.942,198.16586
E4R,E2R,4.52,265.9253
E4R,E3,4.575,85.28673
E4R,E5,1.456,27.850098
E4R,E6,4.012,98.30952
E4R,E7U,7.203,252.00565
E4R,E8,5.481,74.938034
E4R,E9U,2.506,141.36992
E4R,Finish,2.596,88.246765
E4R,Start,4.393,169.97618
E5,CP1,3.322,197.62381
E5,CP2,3.361,200.98422
E5,CP3,4.946,244.50424
E5,CP4,5.008,222.09409
E5,CP5,3.876,188.99564
E5,CP6,0.878,58.989517
E5,CP7,3.716,195.39458
E5,E1,3.763,270.7614
E5,E10U,6.003,298.26257
E5,E2R,5.055,295.93347
E5,E3,3.611,47.78073
E5,E4R,1.456,100.40839
E5,E6,2.556,81.58901
E5,E7U,6.613,288.94714
E5,E8,4.025,53.32881
E5,E9U,2.977,173.80205
E5,Finish,4.783,191.68802
E5,Start,4.335,206.76685
E6,CP1,5.831,205.04979
E6,CP2,4.973,179.79309
E6,CP3,4.18,206.14403
E6,CP4,3.034,179.77324
E6,CP5,2.112,130.62569
E6,CP6,3.434,104.32934
E6,CP7,6.225,203.70956
E6,E1,6.272,285.20035
E6,E10U,8.512,311.43542
E6,E2R,7.037,298.0545
E6,E3,6.024,78.11094
E6,E4R,4.012,137.53366
E6,E5,2.556,47.929947
E6,E7U,4.639,248.83722
E6,E8,2.062,15.31517
E6,E9U,4.368,169.59633
E6,Finish,7.292,203.47334
E6,Start,2.571,149.35184
E7U,CP1,6.16,95.11917
E7U,CP2,5.302,67.18161
E7U,CP3,4.51,89.80252
E7U,CP4,1.605,18.484467
E7U,CP5,4.075,51.55414
E7U,CP6,6.796,60.48358
E7U,CP7,6.554,91.0217
E7U,E1,6.601,170.4859
E7U,E10U,8.841,191.42216
E7U,E2R,7.366,177.77545
E7U,E3,9.6,87.72925
E7U,E4R,7.203,94.903
E7U,E5,6.613,58.731705
E7U,E6,4.639,52.63211
E7U,E8,3.619,22.582962
E7U,E9U,4.697,49.86917
E7U,Finish,7.621,88.21683
E7U,Start,3.308,40.944214
E8,CP1,7.348,247.59811
E8,CP2,7.037,237.87521
E8,CP3,6.244,261.47055
E8,CP4,2.014,189.59312
E8,CP5,4.175,178.9615
E8,CP6,4.904,119.84479
E8,CP7,7.742,245.1722
E8,E1,7.789,317.61563
E8,E10U,10.029,340.71475
E8,E2R,9.101,337.86108
E8,E3,7.34,154.99985
E8,E4R,5.482,158.63057
E8,E5,4.026,63.870186
E8,E6,2.063,59.27545
E8,E7U,3.619,262.72495
E8,E9U,6.432,215.00397
E8,Finish,8.809,235.69096
E8,Start,4.634,198.22217
E9U,CP1,1.463,50.59445
E9U,CP2,1.501,54.00363
E9U,CP3,2.91,86.67044
E9U,CP4,6.31,139.31927
E9U,CP5,2.655,49.78076
E9U,CP6,2.099,26.32109
E9U,CP7,1.857,48.93628
E9U,E1,1.904,124.011444
E9U,E10U,4.144,157.20303
E9U,E2R,3.196,152.5958
E9U,E3,4.903,48.371628
E9U,E4R,2.506,63.141586
E9U,E5,2.977,23.1848
E9U,E6,4.368,51.32805
E9U,E7U,4.697,128.04794
E9U,E8,6.431,53.24906
E9U,Finish,2.924,48.664185
E9U,Start,1.887,40.32602
Finish,CP1,1.778,85.671295
Finish,CP2,3.244,129.57556
Finish,CP3,4.807,158.12201
Finish,CP4,9.234,229.21014
Finish,CP5,5.579,145.41876
Finish,CP6,3.905,100.373245
Finish,CP7,1.068,66.04768
Finish,E1,2.389,159.78052
Finish,E10U,1.722,127.71274
Finish,E2R,4.917,212.16327
Finish,E3,1.979,3.0536346
Finish,E4R,2.596,63.04042
Finish,E5,4.783,94.83548
Finish,E6,7.292,138.41286
Finish,E7U,7.621,220.51715
Finish,E8,8.808,127.940796
