StartCP,FinishCP,Distance,Height_Gain
CP1,CP10,10.389,101.53303527832031
CP1,CP11,9.757,305.7788391113281
CP1,CP12,5.627,262.96484375
CP1,CP13,7.15,251.34510803222656
CP1,CP14,3.985,146.72323608398438
CP1,CP15,5.197,24.040908813476562
CP1,CP2,3.848,103.38995361328125
CP1,CP3,3.507,26.493423461914062
CP1,CP4,1.434,5.1243896484375
CP1,CP5,0.0,0.0
CP1,CP6,5.513,261.41949462890625
CP1,CP7,9.413,348.6817626953125
CP1,CP8,8.188,297.859619140625
CP1,CP9,10.267,351.0665283203125
CP1,Finish,1.434,5.1243896484375
CP1,Start,1.434,5.1243896484375
CP10,CP1,10.389,158.28042602539062
CP10,CP11,1.672,25.601852416992188
CP10,CP12,7.25,285.5597839355469
CP10,CP13,8.539,319.5855407714844
CP10,CP14,8.561,197.87335205078125
CP10,CP15,5.647,45.57453918457031
CP10,CP2,9.465,151.03604125976562
CP10,CP3,7.978,67.0018310546875
CP10,CP4,8.955,73.29061889648438
CP10,CP5,10.389,158.28042602539062
CP10,CP6,5.463,242.0771484375
CP10,CP7,5.397,280.3591613769531
CP10,CP8,2.762,40.621856689453125
CP10,CP9,2.364,71.75148010253906
CP10,Finish,8.955,73.29061889648438
CP10,Start,8.955,73.29061889648438
CP11,CP1,9.757,338.8073425292969
CP11,CP10,1.672,1.882965087890625
CP11,CP12,6.057,266.39349365234375
CP11,CP13,7.346,300.41925048828125
CP11,CP14,9.338,371.12060546875
CP11,CP15,7.319,47.42350769042969
CP11,CP2,9.693,337.694580078125
CP11,CP3,9.352,260.79803466796875
CP11,CP4,8.323,253.81753540039062
CP11,CP5,9.757,338.8073425292969
CP11,CP6,4.271,222.91087341308594
CP11,CP7,4.204,261.19287109375
CP11,CP8,1.569,21.455581665039062
CP11,CP9,1.171,52.585205078125
CP11,Finish,8.323,253.81753540039062
CP11,Start,8.323,253.81753540039062
CP12,CP1,5.627,104.10319519042969
CP12,CP10,7.25,69.95075988769531
CP12,CP11,6.057,74.50337219238281
CP12,CP13,3.275,17.1944580078125
CP12,CP14,3.399,12.8133544921875
CP12,CP15,6.768,43.49229431152344
CP12,CP2,5.563,102.99041748046875
CP12,CP3,5.222,26.093887329101562
CP12,CP4,4.193,19.113388061523438
CP12,CP5,5.627,104.10319519042969
CP12,CP6,1.813,30.14404296875
CP12,CP7,5.713,117.40631103515625
CP12,CP8,4.488,66.58416748046875
CP12,CP9,6.567,119.79104614257812
CP12,Finish,4.193,19.113388061523438
CP12,Start,4.193,19.113388061523438
CP13,CP1,7.15,166.41502380371094
CP13,CP10,8.539,177.90806579589844
CP13,CP11,7.346,182.46067810058594
CP13,CP12,3.275,91.12600708007812
CP13,CP14,5.592,104.5196533203125
CP13,CP15,8.435,85.95320129394531
CP13,CP2,7.086,165.30224609375
CP13,CP3,6.746,88.40571594238281
CP13,CP4,5.716,81.42521667480469
CP13,CP5,7.15,166.41502380371094
CP13,CP6,3.337,92.45587158203125
CP13,CP7,3.142,163.47586059570312
CP13,CP8,5.777,174.54147338867188
CP13,CP9,7.856,227.74835205078125
CP13,Finish,5.716,81.42521667480469
CP13,Start,5.716,81.42521667480469
