StartCP,FinishCP,Distance,Height_Gain
CP1,CP10,5.528,104.91197204589844
CP1,CP11,7.656,249.65615844726562
CP1,CP12,7.67,139.13157653808594
CP1,CP13,9.107,223.865234375
CP1,CP14,2.2,81.21430969238281
CP1,CP15,5.672,197.37010192871094
CP1,CP16,6.995,146.7742919921875
CP1,CP17,2.177,45.5001220703125
CP1,CP2,3.923,149.21359252929688
CP1,CP3,11.146,304.6951599121094
CP1,CP4,11.325,415.0300598144531
CP1,CP8,1.399,72.66827392578125
CP1,CP9,4.554,75.08273315429688
CP1,Finish,8.212,155.16012573242188
CP1,Start,1.453,62.9754638671875
CP10,CP1,5.528,98.36650085449219
CP10,CP11,3.899,148.86392211914062
CP10,CP12,2.142,34.2196044921875
CP10,CP13,5.35,123.072998046875
CP10,CP14,3.328,76.4534912109375
CP10,CP15,1.904,103.73213195800781
CP10,CP16,3.238,45.9820556640625
CP10,CP17,5.564,39.91729736328125
CP10,CP2,2.418,104.84292602539062
CP10,CP3,5.618,199.78318786621094
CP10,CP4,7.568,314.2378234863281
CP10,CP8,6.927,170.8048858642578
CP10,CP9,1.984,9.361007690429688
CP10,Finish,4.455,54.367889404296875
CP10,Start,6.981,161.11207580566406
CP11,CP1,7.656,103.70628356933594
CP11,CP10,3.899,9.459518432617188
CP11,CP12,6.041,43.67912292480469
CP11,CP13,4.199,105.20504760742188
CP11,CP14,5.456,81.79327392578125
CP11,CP15,4.281,104.04833984375
CP11,CP16,0.886,1.7732086181640625
CP11,CP17,7.221,37.416168212890625
CP11,CP2,4.546,110.18270874023438
CP11,CP3,9.517,209.24270629882812
CP11,CP4,6.417,296.369873046875
CP11,CP8,9.054,176.14466857910156
CP11,CP9,3.641,6.8598785400390625
CP11,Finish,3.304,36.49993896484375
CP11,Start,9.108,166.4518585205078
CP12,CP1,7.67,104.33938598632812
CP12,CP10,2.142,5.9728851318359375
CP12,CP11,6.041,154.83680725097656
CP12,CP13,7.492,129.04588317871094
CP12,CP14,5.47,82.42637634277344
CP12,CP15,4.046,109.70501708984375
CP12,CP16,5.38,51.95494079589844
CP12,CP17,7.706,45.89018249511719
CP12,CP2,4.56,110.81581115722656
CP12,CP3,3.476,165.74072265625
CP12,CP4,7.717,289.42620849609375
CP12,CP8,9.068,176.77777099609375
CP12,CP9,4.126,15.333892822265625
CP12,Finish,6.597,60.34077453613281
CP12,Start,9.123,167.0849609375
CP13,CP1,9.107,112.43577575683594
CP13,CP10,5.35,18.189010620117188
CP13,CP11,4.199,139.7254638671875
CP13,CP12,7.492,52.40861511230469
CP13,CP14,6.907,90.52276611328125
CP13,CP15,5.733,112.77783203125
CP13,CP16,3.313,33.8646240234375
CP13,CP17,8.673,46.145660400390625
CP13,CP2,5.997,118.91220092773438
CP13,CP3,10.968,217.97219848632812
CP13,CP4,6.13,295.66754150390625
CP13,CP8,10.505,184.87416076660156
CP13,CP9,5.092,15.589370727539062
CP13,Finish,2.126,22.768478393554688
CP13,Start,10.56,175.1813507080078
CP14,CP1,2.2,21.913009643554688
CP14,CP10,3.328,23.697662353515625
CP14,CP11,5.456,168.4418487548828
CP14,CP12,5.47,57.917266845703125
CP14,CP13,6.907,142.6509246826172
CP14,CP15,3.472,116.15579223632812
CP14,CP16,4.795,65.55998229980469
CP14,CP17,2.443,22.336883544921875
CP14,CP2,1.723,67.99928283691406
CP14,CP3,8.946,223.48085021972656
CP14,CP4,9.125,333.81573486328125
CP14,CP8,3.599,94.35139465332031
CP14,CP9,2.695,22.655303955078125
CP14,Finish,6.012,73.94581604003906
CP14,Start,3.653,84.65858459472656
CP15,CP1,5.672,95.6082763671875
CP15,CP10,1.904,8.515777587890625
CP15,CP11,4.281,148.23638916015625
CP15,CP12,4.046,42.735382080078125
