CP,BNG,1000,1030,1100,1130,1200,1230,1300,1330,1400,1430,1500,1530,1600,1630,1700
Start,238 749,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CP1,251 801,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0
CP2,265 801,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
CP3,268 789,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
CP5,262 747,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CP6,254 775,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0
CP7,251 786,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0
CP8,247 801,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
CP9,250 806,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0
CP10,249 792,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
CP11,244 760,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CP12,228 754,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
CP13,246 779,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
Finish,238 749,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
