CP,BNG,1000,1030,1100,1130,1200,1230,1300,1330,1400,1430,1500,1530,1600,1630,1700
Start,258 779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CP1,251 807,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1
CP2,265 801,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0
CP3,268 789,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
CP4,262 747,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0
CP5,254 775,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
CP6,251 786,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0
CP7,247 801,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1
E1,251 807,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0
E2R,274 814,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
E3,234 807,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
E4R,249 792,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0
E5,246 779,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
E6,247 761,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
E7U,263 758,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E8,245 745,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
E9U,258 794,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E10U,252 817,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Finish,241 808,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
