CP,BNG,1000,1030,1100,1130,1200,1230,1300,1330,1400,1430,1500,1530,1600,1630,1700
Start,259 829,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CP1,256 851,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CP2,277 845,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
CP3,278 834,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
CP4,276 816,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
CP5,259 829,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0
CP6,237 837,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CP7,286 840,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
CP8,262 805,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
CP9,256 822,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
CP10,269 858,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
CP11,262 805,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Finish,259 829,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
