CP,BNG,1000,1030,1100,1130,1200,1230,1300,1330,1400,1430,1500,1530,1600,1630,1700
Start,147834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 
CP1 ,136845,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1
CP2 ,158838,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
CP3 ,147834,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
CP4 ,136845,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1
CP5 ,124833,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0
CP6 ,099829,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
CP7 ,113847,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
CP8 ,124846,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1
CP9 ,137856,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1
CP10,132834,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
CP11,144828,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
CP12,124853,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1
CP13,126826,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1
Finish,147834,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1 
